,Processed,Project,baseline_window,cameraNoiseMat,dFF,dat_dir,mask,num_t_chunks,save_dir,singlePlane
44,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20191112/1_1_TS1_rightLC_20191112_143340/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20191112/1_1_TS1_rightLC_20191112_143340/,True
45,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20191118/1_1_TS3_plane10_20191118_170204/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20191118/1_1_TS3_plane10_20191118_170204/,True
46,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20191118/1_1_TS4_plane12_20191118_171828/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20191118/1_1_TS4_plane12_20191118_171828/,True
47,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20191118/1_1_TS5_plane8_20191118_172956/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20191118/1_1_TS5_plane8_20191118_172956/,True
48,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20191112/1_1_TS8_MO6_20191112_164302/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20191112/1_1_TS8_MO6_20191112_164302/,True
49,True,FEM,10000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Yu/SPIM/active_dataset/SPIM2_confocal/20200116/fish1/20200116_1_9_hucH2BGC7f_hucgal4_6dpf_before_singleplane_1col_20200116_192239/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/Yu/20200116/20200116_1_9_hucH2BGC7f_hucgal4_6dpf_before_singleplane_1col_20200116_192239/,True
50,True,FEM,10000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Yu/SPIM/active_dataset/SPIM2_confocal/20200116/fish1/20200116_1_10_hucH2BGC7f_hucgal4_6dpf_before_singleplane_1col_20200116_205953/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/Yu/20200116/20200116_1_10_hucH2BGC7f_hucgal4_6dpf_before_singleplane_1col_20200116_205953/,True
51,True,FEM,10000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Yu/SPIM/active_dataset/SPIM2_confocal/20200116/fish1/20200116_1_11_hucH2BGC7f_hucgal4_6dpf_before_singleplane_2col_20200116_213152/raw/CM0/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/Yu/20200116/20200116_1_11_hucH2BGC7f_hucgal4_6dpf_before_singleplane_2col_20200116_213152/CM0/,True
52,True,Rongwei,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20191118/1_1_TS1_20191118_140036/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20191118/1_1_TS1_20191118_140036/,False
53,True,Jing Xuan,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,True,/nrs/ahrens/jing/state_modulation/LG_vs_NGGU/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/im/,40,40,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200107/fish03/6dpf_HuC-GC7FF_LGNGGU-multivel_fish03_exp03_20200108_001848/,False
